fighter,pearson
Yui Chul Nam,nan
Dominique Steele,nan
Guangyou Ning,nan
Horacio Gutierrez,nan
Hector Urbina,nan
Valmir Lazaro,nan
Anthony Perosh,0.40886439714464407
Ronda Rousey,nan
Richie Vaculik,nan
Fabio Maldonado,0.02506373278482776
Gleison Tibau,0.1325259012127498
Edimilson Souza,nan
Viscardi Andrade,nan
Bruno Rodrigues,nan
Aisling Daly,nan
Neil Seery,0.11594120233964773
Cathal Pendred,nan
Paddy Holohan,nan
Bubba Bush,nan
Adriano Martins,nan
Shawn Jordan,0.3775329615848275
Francisco Trevino,nan
Chris Cariaso,0.23056145755180085
Katsunori Kikuno,nan
Takeya Mizugaki,0.21247898833173035
Naoyuki Kotani,nan
Joe Riggs,-0.04909351894478909
Clay Collard,nan
Sam Stout,0.23314621348093986
Yves Jabouin,0.41494310608656126
Chris Kelades,nan
Jared Rosholt,-0.03654015380776579
Chris Dempsey,nan
Anthony Christodoulou,nan
Reginaldo Vieira,nan
Rafael Cavalcante,0.3314307546419266
Hugo Viana,nan
Kenny Robertson,-0.04931141528829776
Daron Cruickshank,0.4015679106755982
Jessamyn Duke,nan
Ramsey Nijem,0.3354632428464175
Mickael Lebout,nan
Marcus Brimage,nan
Josh Thomson,-0.0063033620972169566
Scott Jorgensen,0.5699645156377147
Frank Mir,0.3264383931202621
Andrew Craig,nan
Igor Araujo,nan
Angela Magana,nan
Darrell Montague,nan
Dan Miller,0.3086125448192349
Mike Swick,0.11935350848634706
Yosdenis Cedeno,nan
Steve Montgomery,nan
Leandro Silva,0.13100137505092888
Danny Martinez,nan
Dennis Siver,-0.1548837426325446
Alan Omer,nan
Niklas Backstrom,nan
Piotr Hallmann,-0.03131126212140472
Thiago Tavares,0.2670774106861433
Brian Ebersole,nan
Ricardo Abreu,nan
KJ Noons,nan
Luiz Dutra,nan
Lucas Martins,0.15793913494963963
Mark Eddiva,nan
Zhang Lipeng,nan
Mark Munoz,0.5192865865934856
Phillipe Nover,nan
Nolan Ticman,nan
Hatsu Hioki,nan
Dylan Andrews,nan
Alptekin Ozkilic,nan
Vik Grujic,0.010976379601429647
Quinton Jackson,0.5687799062188807
Jessica Rakoczy,nan
Eddie Gordon,nan
Pawel Pawlak,nan
Bartosz Fabinski,nan
Seth Baczynski,nan
Izabela Badurek,nan
Marcin Bandel,nan
Ron Stallings,nan
Leonardo Mafra,nan
Jorge de Oliveira,nan
Bentley Syler,nan
Jake Lindsey,nan
Larissa Pacheco,nan
Roman Salazar,nan
Masio Fullen,nan
William Macario,nan
Ivan Jorge,nan
Ian McCall,-0.107746841309867
Richardson Moreira,nan
Andy Ogle,0.11136739705469045
Akira Corassani,0.2908359066381115
Phil Davis,0.11294163784982411
John Howard,nan
Johnny Case,nan
Matt Van Buren,nan
Tateki Matsuda,nan
Danny Castillo,0.17770499609606272
Alexis Dufresne,nan
Tom Niinimaki,nan
Elias Silverio,nan
Leandro Issa,0.18513916344533105
Marcio Alexandre Junior,nan
Jamie Varner,0.2651348836932195
David Michaud,nan
Joe Ellenberger,nan
Emily Kagan,nan
Luke Barnatt,nan
Ruslan Magomedov,nan
Yves Edwards,-0.07173866344839687
Juan Manuel Puig,nan
Edgar Garcia,0.11894591651008084
Caio Magalhaes,nan
Wagner Silva,nan
Soa Palelei,0.1694119418513502
Jumabieke Tuerxun,nan
Luke Zachrich,nan
Fabricio Camoes,0.08968965151293565
Tor Troeng,nan
Manvel Gamburyan,nan
Michinori Tanaka,0.4044499170193112
Kazuki Tokudome,nan
Paulo Thiago,0.4231401392903146
